alternativa,x1,x2,x3,ganancia,tiempo,metodo,alternativas_equivalentes,ganancia_normalizada,tiempo_normalizado,distancia_ideal_positiva,distancia_ideal_negativa,puntaje_topsis,ranking_topsis,puntaje_suma_ponderada,ranking_suma_ponderada
66,0,36,3,2610.0,48.3,MOPSO,1,0.30585683297180044,0.7120853080568721,0.37574246704646164,0.38749641554019254,0.5077000456612488,49,0.5089710705143362,54
67,0,39,1,2625.0,48.5,MOPSO,1,0.3091106290672451,0.7097156398104265,0.37469758894291266,0.38705479921900954,0.5081110413745458,29,0.5094131344388358,28
68,0,35,4,2635.0,48.8,MOPSO,1,0.31127982646420826,0.7061611374407583,0.3743917582510598,0.38586224303344746,0.5075438503197565,57,0.5087204819524833,65
69,0,38,2,2650.0,49.0,MOPSO,1,0.31453362255965295,0.7037914691943128,0.37336431548932747,0.38543930515425756,0.5079565972903982,37,0.5091625458769828,44
70,0,41,0,2665.0,49.199999999999996,MOPSO,1,0.31778741865509763,0.7014218009478673,0.3723449164063107,0.3850264232167774,0.5083720535396553,15,0.5096046098014825,18
71,0,40,1,2690.0,49.7,MOPSO,1,0.3232104121475054,0.6954976303317535,0.37106799894329573,0.3834650976026517,0.50821507944124,22,0.5093540212396295,32
72,0,36,4,2700.0,49.99999999999999,MOPSO,1,0.32537960954446854,0.6919431279620853,0.37081387097442764,0.3823143937393888,0.5076351687373704,51,0.5086613687532769,68
73,0,42,0,2730.0,50.4,MOPSO,1,0.3318872017353579,0.6872037914691943,0.36885504580941336,0.38157507966498616,0.5084751620589023,12,0.5095454966022761,21
74,0,38,3,2740.0,50.7,MOPSO,1,0.33405639913232105,0.683649289099526,0.3686321512781562,0.3804504002782557,0.507888482367216,41,0.5088528441159236,57
75,1,42,0,2770.0,51.199999999999996,MOPSO,1,0.3405639913232104,0.6777251184834123,0.3669866989402019,0.3792410738598046,0.5082108810240372,23,0.5091445549033113,46
76,0,40,2,2780.0,51.4,MOPSO,1,0.34273318872017355,0.6753554502369669,0.3665357229864483,0.37867235930784354,0.5081431190889755,26,0.5090443194785702,49
77,0,39,3,2805.0,51.9,MOPSO,1,0.3481561822125813,0.669431279620853,0.36543673928629017,0.37727674370005,0.5079707751939125,35,0.5087937309167172,60
78,0,42,1,2820.0,52.1,MOPSO,1,0.351409978308026,0.6670616113744076,0.3645260576622065,0.3769814870202078,0.508398720583699,14,0.5092357948412167,40
79,0,41,2,2845.0,52.599999999999994,MOPSO,1,0.35683297180043383,0.6611374407582938,0.36348715940831405,0.3756436094679223,0.5082234772049027,21,0.5089852062793638,53
80,2,40,2,2860.0,53.0,MOPSO,1,0.3600867678958785,0.6563981042654028,0.36316360203576026,0.3743397359675148,0.5075770056587119,55,0.5082424360806407,83
81,0,40,3,2870.0,53.1,MOPSO,1,0.36225596529284165,0.65521327014218,0.3624897732663001,0.374344030859535,0.508044051131912,31,0.5087346177175108,64
82,0,43,1,2885.0,53.300000000000004,MOPSO,1,0.36550976138828634,0.6528436018957345,0.36162668168923756,0.37409963719787215,0.5084766272372074,10,0.5091766816420105,43
83,0,42,2,2910.0,53.8,NSGA-II,1,0.37093275488069416,0.6469194312796208,0.3606908256699563,0.3728591755644915,0.5082941516413614,16,0.5089260930801575,55
84,0,45,0,2925.0,54.0,MOPSO,1,0.37418655097613884,0.6445497630331753,0.3598566881200462,0.3726459351574699,0.5087298301944517,4,0.5093681570046571,31
85,0,41,3,2935.0,54.3,MOPSO,1,0.37635574837310193,0.6409952606635071,0.35979735805496715,0.37165796558346326,0.508107540641363,30,0.5086755045183045,67
86,0,40,4,2960.0,54.8,MOPSO,1,0.38177874186550975,0.6350710900473934,0.3589465953761749,0.37049638903584337,0.5079168584148921,39,0.5084249159564516,78
87,0,46,0,2990.0,55.199999999999996,MOPSO,1,0.3882863340563991,0.6303317535545023,0.3573682349944692,0.37016361137814835,0.5087936881708051,3,0.5093090438054507,35
88,0,38,6,3010.0,55.800000000000004,MOPSO,1,0.3926247288503254,0.6232227488151658,0.35737438947640765,0.3682936234669027,0.5075235739999008,58,0.5079237388327456,90
